"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewComunicacaoUnidade.java","3","25","Avoid variables with short names like id","Naming","ShortVariable"
"2","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewComunicacaoUnidade.java","3","30","Document empty constructor","Design","UncommentedEmptyConstructor"
"3","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewComunicacaoUnidade.java","3","34","Avoid variables with short names like id","Naming","ShortVariable"
"4","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewComunicacaoUnidade.java","3","34","Parameter 'id' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"5","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewComunicacaoUnidade.java","3","35","Parameter 'coComunicacao' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"6","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewComunicacaoUnidade.java","3","45","Parameter 'coComunicacao' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"7","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewComunicacaoUnidade.java","3","53","Avoid variables with short names like id","Naming","ShortVariable"
"8","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewComunicacaoUnidade.java","3","53","Parameter 'id' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"1","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewComunicacaoUnidadeId.java","3","11","The class 'ViewComunicacaoUnidadeId' has a Cyclomatic Complexity of 2 (Highest = 10).","Code Size","CyclomaticComplexity"
"2","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewComunicacaoUnidadeId.java","3","11","The class 'ViewComunicacaoUnidadeId' has a Modified Cyclomatic Complexity of 2 (Highest = 10).","Code Size","ModifiedCyclomaticComplexity"
"3","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewComunicacaoUnidadeId.java","3","11","The class 'ViewComunicacaoUnidadeId' has a Standard Cyclomatic Complexity of 2 (Highest = 10).","Code Size","StdCyclomaticComplexity"
"4","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewComunicacaoUnidadeId.java","3","21","Document empty constructor","Design","UncommentedEmptyConstructor"
"5","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewComunicacaoUnidadeId.java","3","24","Parameter 'numeroUnidade' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"6","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewComunicacaoUnidadeId.java","3","25","Parameter 'numeroNatural' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"7","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewComunicacaoUnidadeId.java","3","34","Parameter 'numeroUnidade' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"8","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewComunicacaoUnidadeId.java","3","42","Parameter 'numeroNatural' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"9","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewComunicacaoUnidadeId.java","3","48","Avoid using final local variables, turn them into fields","Controversial","AvoidFinalLocalVariable"
"10","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewComunicacaoUnidadeId.java","5","49","Found 'DD'-anomaly for variable 'result' (lines '49'-'50').","Controversial","DataflowAnomalyAnalysis"
"11","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewComunicacaoUnidadeId.java","3","58","Parameter 'obj' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"12","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewComunicacaoUnidadeId.java","3","58","The method 'equals' has a Cyclomatic Complexity of 10.","Code Size","CyclomaticComplexity"
"13","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewComunicacaoUnidadeId.java","3","58","The method 'equals' has a Modified Cyclomatic Complexity of 10.","Code Size","ModifiedCyclomaticComplexity"
"14","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewComunicacaoUnidadeId.java","3","58","The method 'equals' has a Standard Cyclomatic Complexity of 10.","Code Size","StdCyclomaticComplexity"
"15","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewComunicacaoUnidadeId.java","3","59","Avoid using if statements without curly braces","Braces","IfStmtsMustUseBraces"
"16","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewComunicacaoUnidadeId.java","3","60","A method should have only one exit point, and that should be the last statement in the method","Controversial","OnlyOneReturn"
"17","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewComunicacaoUnidadeId.java","3","61","Avoid using if statements without curly braces","Braces","IfStmtsMustUseBraces"
"18","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewComunicacaoUnidadeId.java","3","62","A method should have only one exit point, and that should be the last statement in the method","Controversial","OnlyOneReturn"
"19","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewComunicacaoUnidadeId.java","3","63","Avoid using if statements without curly braces","Braces","IfStmtsMustUseBraces"
"20","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewComunicacaoUnidadeId.java","3","64","A method should have only one exit point, and that should be the last statement in the method","Controversial","OnlyOneReturn"
"21","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewComunicacaoUnidadeId.java","3","65","Local variable 'other' could be declared final","Optimization","LocalVariableCouldBeFinal"
"22","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewComunicacaoUnidadeId.java","3","67","Avoid using if statements without curly braces","Braces","IfStmtsMustUseBraces"
"23","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewComunicacaoUnidadeId.java","3","68","A method should have only one exit point, and that should be the last statement in the method","Controversial","OnlyOneReturn"
"24","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewComunicacaoUnidadeId.java","3","69","Avoid using if statements without curly braces","Braces","IfStmtsMustUseBraces"
"25","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewComunicacaoUnidadeId.java","3","70","A method should have only one exit point, and that should be the last statement in the method","Controversial","OnlyOneReturn"
"26","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewComunicacaoUnidadeId.java","3","72","Avoid using if statements without curly braces","Braces","IfStmtsMustUseBraces"
"27","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewComunicacaoUnidadeId.java","3","73","A method should have only one exit point, and that should be the last statement in the method","Controversial","OnlyOneReturn"
"28","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewComunicacaoUnidadeId.java","3","74","Avoid using if statements without curly braces","Braces","IfStmtsMustUseBraces"
"29","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewComunicacaoUnidadeId.java","3","75","A method should have only one exit point, and that should be the last statement in the method","Controversial","OnlyOneReturn"
"1","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewEmpregado.java","3","49","Avoid unnecessary constructors - the compiler will generate these for you","Controversial","UnnecessaryConstructor"
"2","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewEmpregado.java","3","49","Document empty constructor","Design","UncommentedEmptyConstructor"
"3","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewEmpregado.java","3","56","Parameter 'nomeEmpregado' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"4","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewEmpregado.java","3","64","Parameter 'numeroFuncao' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"5","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewEmpregado.java","3","72","Parameter 'numeroUnidade' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"6","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewEmpregado.java","3","80","Parameter 'numeroNatural' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"7","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewEmpregado.java","3","88","Parameter 'siglaUnidade' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"8","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewEmpregado.java","3","96","Parameter 'siglaLocalizacao' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"9","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewEmpregado.java","3","104","Parameter 'nomeUnidade' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"10","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewEmpregado.java","3","112","Parameter 'numeroCpf' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"11","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewEmpregado.java","3","120","Parameter 'nomeFuncao' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"12","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewEmpregado.java","3","128","Parameter 'numeroMatricula' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"13","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewEmpregado.java","3","134","Avoid using final local variables, turn them into fields","Controversial","AvoidFinalLocalVariable"
"14","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewEmpregado.java","5","135","Found 'DD'-anomaly for variable 'result' (lines '135'-'136').","Controversial","DataflowAnomalyAnalysis"
"15","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewEmpregado.java","3","142","Parameter 'obj' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"16","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewEmpregado.java","3","144","A method should have only one exit point, and that should be the last statement in the method","Controversial","OnlyOneReturn"
"17","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewEmpregado.java","3","147","A method should have only one exit point, and that should be the last statement in the method","Controversial","OnlyOneReturn"
"18","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewEmpregado.java","3","150","A method should have only one exit point, and that should be the last statement in the method","Controversial","OnlyOneReturn"
"19","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewEmpregado.java","3","152","Local variable 'other' could be declared final","Optimization","LocalVariableCouldBeFinal"
"20","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewEmpregado.java","3","155","A method should have only one exit point, and that should be the last statement in the method","Controversial","OnlyOneReturn"
"21","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewEmpregado.java","3","158","Avoid empty if statements","Empty Code","EmptyIfStmt"
"22","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewEmpregado.java","3","158","Avoid empty if statements","Empty Code","EmptyIfStmt"
"23","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewEmpregado.java","3","160","A method should have only one exit point, and that should be the last statement in the method","Controversial","OnlyOneReturn"
"1","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidade.java","3","31","Avoid variables with short names like id","Naming","ShortVariable"
"2","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidade.java","3","33","Avoid excessively long variable names like numeroDvNumeroUnidade","Naming","LongVariable"
"3","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidade.java","3","45","Avoid excessively long variable names like numeroLocalidadeL10","Naming","LongVariable"
"4","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidade.java","3","55","Document empty constructor","Design","UncommentedEmptyConstructor"
"5","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidade.java","3","59","Avoid excessively long variable names like numeroDvNumeroUnidade","Naming","LongVariable"
"6","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidade.java","3","59","Avoid long parameter lists.","Code Size","ExcessiveParameterList"
"7","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidade.java","3","59","Avoid variables with short names like id","Naming","ShortVariable"
"8","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidade.java","3","59","Parameter 'id' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"9","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidade.java","3","59","Parameter 'numeroDvNumeroUnidade' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"10","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidade.java","3","60","Parameter 'nomeUnidade' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"11","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidade.java","3","60","Parameter 'numeroCgcUnidade' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"12","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidade.java","3","60","Parameter 'siglaUnidade' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"13","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidade.java","3","61","Avoid excessively long variable names like numeroLocalidadeL10","Naming","LongVariable"
"14","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidade.java","3","61","Parameter 'numeroDvCgc' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"15","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidade.java","3","61","Parameter 'numeroLocalidadeL10' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"16","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidade.java","3","61","Parameter 'siglaUfL22' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"17","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidade.java","3","62","Parameter 'dataFim' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"18","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidade.java","3","62","Parameter 'dataInicio' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"19","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidade.java","3","62","Parameter 'numeroTipoUnidade' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"20","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidade.java","3","62","Parameter 'siglaLocalizacao' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"21","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidade.java","3","78","Avoid variables with short names like id","Naming","ShortVariable"
"22","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidade.java","3","78","Parameter 'id' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"23","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidade.java","3","86","Avoid variables with short names like id","Naming","ShortVariable"
"24","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidade.java","3","86","Parameter 'id' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"25","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidade.java","3","94","Avoid excessively long variable names like numeroDvNumeroUnidade","Naming","LongVariable"
"26","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidade.java","3","94","Parameter 'numeroDvNumeroUnidade' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"27","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidade.java","3","102","Parameter 'nomeUnidade' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"28","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidade.java","3","110","Parameter 'siglaUnidade' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"29","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidade.java","3","118","Parameter 'numeroCgcUnidade' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"30","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidade.java","3","126","Parameter 'numeroDvCgc' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"31","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidade.java","3","134","Parameter 'siglaUfL22' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"32","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidade.java","3","142","Avoid excessively long variable names like numeroLocalidadeL10","Naming","LongVariable"
"33","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidade.java","3","142","Parameter 'numeroLocalidadeL10' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"34","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidade.java","3","150","Parameter 'dataInicio' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"35","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidade.java","3","158","Parameter 'dataFim' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"36","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidade.java","3","166","Parameter 'siglaLocalizacao' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"37","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidade.java","3","174","Parameter 'numeroTipoUnidade' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"38","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidade.java","3","180","Avoid using final local variables, turn them into fields","Controversial","AvoidFinalLocalVariable"
"39","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidade.java","5","181","Found 'DD'-anomaly for variable 'result' (lines '181'-'182').","Controversial","DataflowAnomalyAnalysis"
"40","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidade.java","3","187","Parameter 'obj' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"41","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidade.java","3","188","Avoid using if statements without curly braces","Braces","IfStmtsMustUseBraces"
"42","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidade.java","3","189","A method should have only one exit point, and that should be the last statement in the method","Controversial","OnlyOneReturn"
"43","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidade.java","3","190","Avoid using if statements without curly braces","Braces","IfStmtsMustUseBraces"
"44","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidade.java","3","191","A method should have only one exit point, and that should be the last statement in the method","Controversial","OnlyOneReturn"
"45","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidade.java","3","192","Avoid using if statements without curly braces","Braces","IfStmtsMustUseBraces"
"46","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidade.java","3","193","A method should have only one exit point, and that should be the last statement in the method","Controversial","OnlyOneReturn"
"47","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidade.java","3","194","Local variable 'other' could be declared final","Optimization","LocalVariableCouldBeFinal"
"48","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidade.java","3","196","Avoid using if statements without curly braces","Braces","IfStmtsMustUseBraces"
"49","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidade.java","3","197","A method should have only one exit point, and that should be the last statement in the method","Controversial","OnlyOneReturn"
"50","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidade.java","3","198","Avoid using if statements without curly braces","Braces","IfStmtsMustUseBraces"
"51","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidade.java","3","199","A method should have only one exit point, and that should be the last statement in the method","Controversial","OnlyOneReturn"
"52","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidade.java","3","206","A method should have only one exit point, and that should be the last statement in the method","Controversial","OnlyOneReturn"
"1","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidadeId.java","3","14","The class 'ViewUnidadeId' has a Cyclomatic Complexity of 2 (Highest = 10).","Code Size","CyclomaticComplexity"
"2","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidadeId.java","3","14","The class 'ViewUnidadeId' has a Modified Cyclomatic Complexity of 2 (Highest = 10).","Code Size","ModifiedCyclomaticComplexity"
"3","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidadeId.java","3","14","The class 'ViewUnidadeId' has a Standard Cyclomatic Complexity of 2 (Highest = 10).","Code Size","StdCyclomaticComplexity"
"4","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidadeId.java","3","23","Document empty constructor","Design","UncommentedEmptyConstructor"
"5","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidadeId.java","3","26","Parameter 'numeroNatural' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"6","br.gov.caixa.siget.entity","/home/pedro/projetos_tcc/SIGET/siget_919/src/br/gov/caixa/siget/entity/ViewUnidadeId.java","3","26","Parameter 'numeroUnidade' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
